                                                                                HeartRate                                                                       25.01.2516.42.591   
Average,RRData
105.1,560
106.200005,552
107.4,544
107.3,560
108.200005,544
108.4,552
109,544
108.9,552
108.8,552
109.3,544
109.6,544
110.3,536
110.8,536
110.6,544
110,552
108.700005,568
108.200005,560
107.4,568
107.8,552
108.6,544
108.6,552
109.1,544
109,552
108.9,552
108.4,560
108.5,552
108.1,560
107.3,568
107.700005,552
108.5,544
109.5,536
109.700005,544
110.4,536
110.9,536
110.700005,544
110.1,552
109.200005,560
110,536
110.1,544
109.200005,560
109,552
108.9,552
108.8,552
108.3,560
108.4,552
109,544
108.4,560
108,560
109.200005,536
110,536
109.6,552
109.3,552
108.200005,568
107.4,568
105.6,592
103.5,608
102.1,608
100.700005,616
99.3,624
98.700005,616
98.3,616
98,616
97.1,632
95.700005,648
94.1,664
92.700005,672
93,640
93.6,632
94.4,624
95.700005,608
97.4,592
98.6,592
99.8,584
101.1,576
101.8,552
103.1,536
105.700005,536
107.6,536
109.4,528
111.200005,520
111.9,528
112.1,344
112.200005,352
114.200005,504
113.5,536
114.6,512
115.4,488
117.1,496
118.9,488
120.1,488
121,488
121.6,488
121.4,496
121.5,456
120.700005,504
120.700005,456
122.6,472
123.3,480
123.8,480
124.8,472
124.9,480
124.9,480
124.9,480
125.6,472
125.4,480
125.3,480
125.3,264
125.3,272
125.3,432
125.200005,480
123.9,496
123.9,448
124.200005,480
124.4,480
125.9,464
125.6,480
127.4,456
126.6,504
126.1,440
127.8,456
127,480
127,472
128.40001,456
128.7,464
129.6,456
128.8,472
129.6,456
130.2,456
130.6,456
130.90001,456
131.1,456
131.90001,448
131.8,456
132.40001,448
132.90001,448
132.5,456
132.2,456
132.7,448
132.40001,456
133.6,440
133.7,448
133.8,448
131.8,472
131.8,416
131.7,456
132.6,424
131.6,464
132.3,448
133.5,440
134.40001,440
135,440
135.40001,440
134.3,456
134.90001,440
134.6,448
134.40001,448
134.2,448
134.2,408
133.6,472
134.40001,440
134.2,448
134.90001,440
134.6,448
134.40001,448
134.2,448
134.1,448
134,448
134,448
133.3,456
131.40001,472
131.40001,368
131.40001,592
131.40001,824
132.1,432
133.40001,440
134.3,440
134.2,448
134.1,448
134.8,440
134.5,448
135.8,432
135.2,448
135.6,440
135.8,440
136,440
136.1,440
135.40001,448
135.7,440
134.5,456
134.3,448
134.2,448
133.40001,456
133.6,448
132.3,464
132.1,456
131.3,464
131.3,504
131.40001,456
129.5,480
128.8,472
127.700005,480
127.5,472
126.700005,480
126.200005,480
127.1,464
126.200005,512
125.6,416
124.8,488
124.5,432
122.8,504
123.5,456
125.9,456
126.3,904
127.9,456
128.1,432
127.200005,480
129.2,448
130.6,448
131.6,448
132.3,448
133.5,440
134.40001,440
134.2,448
134.90001,440
135.40001,440
135.7,440
135.90001,440
136.1,440
136.90001,432
136.90001,408
135.3,456
136.40001,432
137.2,432
139.3,416
139.2,432
139.2,400
137.6,448
137.6,400
138,432
138.3,432
138.3,392
137,448
136.8,440
136.8,392
137.5,416
138.7,424
138,440
138.2,384
140,416
141.3,416
142.2,416
143.7,408
143.90001,416
143.2,424
144.40001,408
144.3,416
142.7,432
142.7,392
143.2,416
143.5,416
144.6,408
144.5,416
144.40001,416
144.3,416
145.1,408
145.7,408
143.7,432
144.5,392
146,384
146.3,408
147,440
147.90001,400
146.8,416
146.90001,408
147.8,400
147.6,408
146.6,416
146.8,408
146.90001,408
146.1,416
148.2,392
146.2,424
147.3,400
146.40001,416
145.7,432
145.2,384
145.8,408
147.1,400
147.1,408
147.1,408
146.3,432
145.7,384
147,400
146.2,416
146.5,408
147.6,400
147.40001,408
145.6,424
145.6,384
146.8,376
146.90001,424
147,408
148.8,392
148.90001,376
147.5,416
148.3,400
148.8,400
148.8,296
148.8,496
148.3,408
149,384
149.3,400
149.7,368
148.90001,432
150.2,392
150.1,400
151,392
151.6,392
151.1,400
150.8,400
150.6,400
151.40001,392
151.3,440
151.3,360
150.90001,400
151.6,392
151.6,424
152.3,376
153.5,384
153.8,424
152.7,400
151,408
151.6,392
151.7,424
151.2,400
152,376
151.40001,400
151,400
150.7,400
149.6,408
149.7,400
149.8,400
149.90001,400
149.90001,400
149.90001,400
149.90001,400
150.90001,392
150.6,400
151.40001,392
151,400
151.6,392
151.6,784
152.1,392
152.40001,392
152.6,392
151.8,400
153.2,384
153.2,392
153.2,392
153.2,392
154.1,384
153.8,392
152.7,400
153.8,384
153.6,392
154.40001,384
155,384
155.40001,384
154.7,392
154.2,392
155.8,376
155,392
155.40001,384
154.7,392
154.2,392
154.8,384
154.3,392
154.90001,384
155.3,384
154.6,392
154.1,392
153.8,392
154.6,384
154.1,392
153.8,392
153.6,392
153.40001,392
153.3,392
152.5,416
151.90001,368
152.3,392
152.5,392
151.7,400
151.2,400
151.8,392
152.2,392
152.5,392
151.7,400
151,416
150.5,376
150.3,400
150.2,400
150.1,400
150.1,400
150.1,400
149.2,408
148.5,424
148.90001,384
149.2,400
149.40001,400
148.7,408
148.2,408
148.7,400
149.1,400
149.40001,400
149.6,400
148.8,408
149.2,400
150.40001,392
150.3,400
150.2,400
150.1,400
150.1,432
151,376
150.7,400
150.5,400
150.3,400
150.2,400
150.1,400
149.2,408
149.40001,400
149.6,400
148.8,408
148.3,408
147.90001,408
147.7,408
146.6,416
145.90001,416
144.6,424
144.5,416
143.6,424
142.2,432
142,424
141.1,432
140.40001,432
139.90001,432
138.8,440
138.8,432
138.1,440
136.8,448
135.90001,448
136.1,440
135.40001,448
135.7,440
136.7,432
136.6,440
138.1,424
138.3,432
138.5,432
138.6,432
139.5,424
139.3,432
139.2,432
139.90001,424
139.6,432
140.2,424
139.8,432
138.8,440
138.1,440
138.3,432
138.5,432
137.90001,440
138.2,432
137.7,440
136.6,448
136.5,440
