                                                                                HeartRate                                                                       25.01.2516.42.591   
Average,RRData
159.57446,376
167.57353,272
160.58696,552
102.4,592
102.1,592
101.5,600
100.700005,608
99.700005,616
98.6,624
97.5,632
96.700005,632
96.200005,632
96.6,616
96.5,624
97.200005,608
97.700005,608
98.4,600
98.1,616
98.3,608
98.4,608
98.9,600
100,584
100.8,584
102.200005,568
103.700005,560
104.700005,560
105,568
105.200005,568
104.4,584
103.1,600
101.4,616
100.200005,616
98.3,640
96.6,648
95.4,648
94.6,648
94.4,640
94.200005,640
94.4,632
95.700005,608
97.4,592
99.4,576
100.8,576
102.700005,560
103.6,568
105.6,544
106.5,552
107.6,544
108.4,544
108.5,552
108.1,560
106.5,584
105.700005,616
103.6,608
101.700005,616
101.4,664
99.8,704
97.4,736
94.5,760
91.6,776
87.8,760
87,664
86.5,704
86.4,696
87.6,664
87.200005,696
87.200005,688
86.9,696
87.6,672
86.9,704
86.700005,696
86.200005,704
85.6,712
86.1,688
86.4,688
86.9,680
87,688
89,640
90.4,640
91.8,632
93.5,616
95.1,608
95.8,616
96.700005,608
98.1,592
99.1,592
99,608
98.5,616
98.200005,616
97.200005,632
95.200005,664
93.8,664
91.8,688
91.700005,656
90,696
89.5,680
88.5,696
89.1,664
88.8,680
88.6,680
88.8,672
89.9,648
89.4,680
88.700005,688
89.5,656
89.1,680
88.8,680
88.6,680
90.5,632
91.8,632
93.1,624
92.9,648
91.5,680
90.200005,688
89.3,688
90.3,648
90.700005,656
90.9,656
92.9,616
93.5,632
93.200005,648
92.4,664
92.1,656
92.3,648
90.8,688
90,680
91.1,640
92.200005,632
92.3,648
92.4,648
93.200005,632
93,648
92.5,656
92.9,640
92.5,656
92.5,648
92.9,640
94.6,608
95.8,608
96.6,576
98.9,576
100.5,576
102.5,560
103.4,568
104.5,560
104.8,568
104.6,576
104,584
103.200005,592
102.200005,600
101.1,608
100.8,600
99.8,616
99.1,616
98.200005,624
97.6,624
97.200005,624
98,600
98.6,600
99,600
99.700005,592
99.8,600
99.9,600
99.5,608
98.1,632
97.5,624
96.700005,632
95.8,640
95.9,624
96.4,616
95.9,632
94.9,648
94.6,640
94.4,640
93.9,648
93.9,640
94.200005,632
94.4,632
94.200005,640
94.8,624
94.5,640
94.3,640
94.9,624
95.3,624
95.200005,632
95.5,624
95.3,632
96.3,608
96.6,616
97.200005,608
98.5,592
99,600
99.3,600
98.700005,616
99.1,600
98.200005,624
97.200005,632
96.200005,640
95.5,640
94,664
93.200005,656
93.4,640
93.200005,648
93.4,640
93.9,632
93.9,640
94.200005,632
95.200005,616
95.5,624
96.1,616
95.700005,632
95.5,632
96.1,616
96.9,608
97.4,608
97,624
97.5,608
96.700005,632
96.200005,632
95.8,632
97.1,600
98,600
99.4,584
100.4,584
101.1,584
101.200005,592
101.3,592
100.5,608
100,608
99.200005,616
98.3,624
97.3,632
95.9,648
95.6,632
95.4,632
95.200005,632
95.9,616
97.1,600
98.4,592
98.9,600
98.8,608
98.8,608
99.200005,600
99,608
99.3,600
100.3,584
101.9,568
103,568
103.8,568
103.9,576
103.1,592
101.4,616
100.5,656
99.1,672
97.4,680
94.6,680
95.1,624
95.4,624
95.200005,632
94.8,640
94.8,632
93.8,656
94.1,632
93.3,656
92.1,672
90.9,680
91.1,656
90.9,664
90.4,672
89.700005,680
89.6,672
90.200005,656
92,624
92.700005,600
95.3,592
96.3,608
95.9,632
96,624
95,648
95,632
95,632
96.1,608
96.5,616
97.3,568
98.5,592
100.200005,576
101.4,576
101.8,584
102.1,584
101.9,592
101.3,600
100.5,608
100.3,600
100.200005,600
100.1,600
99.700005,608
99,616
97.4,640
96.3,640
95.200005,648
95.1,632
95.4,624
95.200005,632
94.4,648
94.9,624
95.3,624
95.9,616
96,624
98,584
98.6,600
99.8,584
100.700005,584
101.3,584
101.3,592
100.9,600
100.200005,608
99,624
97.4,640
95.6,656
94.4,656
93.9,648
93.9,640
93.5,648
93.200005,648
93.4,640
92.5,664
91.5,672
90.200005,688
90.9,648
90.4,672
91.1,648
91.9,640
92.5,640
92.5,648
91.9,664
90.8,680
90,680
89.8,672
90.3,656
91.700005,632
93.1,624
94.4,616
95.700005,608
96.6,608
97.200005,608
98,600
98.200005,608
99.200005,592
99.4,600
99.200005,608
98.3,624
97.3,632
95.6,656
96.5,608
96.5,272
96.5,328
98.4,584
99.1,568
101.5,560
103.700005,552
105.700005,544
107.6,536
109.4,528
110.700005,528
111.6,528
112.700005,520
112.5,536
113.3,496
114.5,512
114.200005,528
115.4,480
115.9,512
116.8,504
115.3,536
117,496
116.5,520
115.1,536
113.700005,544
112.9,576
113.1,528
111.8,552
110.9,552
109.8,560
111.5,520
111.6,536
111.200005,544
111.4,536
110.6,552
110,552
109.6,552
107.5,584
108.3,544
108.4,552
108.5,552
108.1,560
108.3,552
108.4,552
109,544
109.4,544
109.700005,544
109.9,544
110,544
110.1,544
110.6,536
110,552
110.6,536
110,552
110.1,544
108.700005,568
110.700005,520
110.6,544
111,536
111.8,528
112.3,528
112.700005,528
113,528
112.700005,536
112,544
110.5,560
108.6,576
106.8,584
105.200005,592
104.9,576
104.700005,576
105,568
104.8,576
104.200005,584
103.4,592
102,608
100.6,616
100,608
100.4,592
101.1,584
101.6,584
102.4,576
103.4,568
104.5,560
104.4,576
105.700005,552
107.1,544
108.1,544
109.200005,536
110,536
111.1,528
111.9,528
113,520
114.3,512
114.6,520
114.8,520
115.5,512
115.5,520
114.4,536
113.200005,544
112.8,536
111.6,552
110.700005,552
110.6,544
110.5,544
110,552
109.1,560
108,568
107.3,568
107.200005,560
106.700005,568
106.8,560
107.9,544
107.700005,560
108.5,544
109,544
108.9,552
108.4,560
110.5,520
110.4,544
110.9,536
111.200005,536
111.9,528
112.4,528
112.200005,536
112.6,528
112.4,536
111.8,544
111.8,536
111.3,544
111,544
110.3,552
109.8,552
108.5,568
106.8,584
105.6,584
103.5,608
102.1,608
100.700005,616
100.5,600
100,608
99.200005,616
99.9,592
99.9,600
99.9,600
99.9,600
99.5,608
99.3,608
98.700005,616
97.9,624
97,632
96.4,632
95.6,640
94.700005,648
94.4,640
94.200005,640
93.700005,648
93,656
92.5,656
92.5,648
92.200005,656
91.700005,664
91.3,664
91.700005,648
92,648
91.5,664
91.200005,664
91,664
90.5,672
90.1,672
90.5,656
90.8,656
90.700005,664
89.9,680
90.700005,648
92,632
92.9,632
93.5,632
92.9,656
93.200005,640
93.700005,632
93.700005,640
93.4,648
93.5,640
93.6,640
93.700005,640
93.700005,640
94.5,624
95.4,616
95.6,624
96.1,616
96.5,616
97.200005,608
97.700005,608
98,608
99.4,584
100.1,560
102.200005,560
104.200005,552
