Timestamp,Type,Content
1737823379.225836,RecordingStart,
1737823397.640802,RecordingPause,
1737823563.436213,RecordingResume,
1737823570.853431,VideoAnnotationStart,
1737824114.844262,VideoAnnotationStop,
1737824117.312384,RecordingStop,
