                                                                                ECG                                                                             25.01.2516.42.59200 
Timestamp,Sample
1737823380.3569083,0
1737823380.3619084,0
1737823380.3669083,-3
1737823380.3719084,-4
1737823380.3769083,47
1737823380.3819084,-74
1737823380.3869083,-257
1737823380.3919084,745
1737823380.3969083,622
1737823380.4019084,-3413
1737823380.4069085,-2991
1737823380.4119084,7243
1737823380.4169085,8428
1737823380.4219084,-23321
1737823380.4269085,-79241
1737823380.4319084,-118722
1737823380.4373312,0
1737823380.4423313,0
1737823380.4473312,-2
1737823380.4523313,-3
1737823380.4573312,23
1737823380.4623313,-42
1737823380.4673312,-135
1737823380.4723313,387
1737823380.4773312,295
1737823380.4823313,-1766
1737823380.4873312,-1473
1737823380.4923313,3569
1737823380.4973311,3881
1737823380.5023313,-12080
1737823380.5073311,-40821
1737823380.5123312,-64551
1737823380.517754,-70961
1737823380.522754,-65638
1737823380.527754,-61636
1737823380.532754,-62480
1737823380.537754,-62964
1737823380.542754,-61659
1737823380.547754,-60704
1737823380.552754,-60087
1737823380.557754,-59322
1737823380.562754,-58535
1737823380.567754,-57805
1737823380.572754,-57196
1737823380.577754,-56357
1737823380.582754,-55119
1737823380.587754,-54458
1737823380.592754,-54842
1737823380.5981767,-53843
1737823380.6031768,-46964
1737823380.6081767,-31735
1737823380.6131768,-10051
1737823380.6181767,14706
1737823380.6231768,40898
1737823380.6281767,66777
1737823380.6331768,87930
1737823380.638177,100059
1737823380.6431768,103696
1737823380.648177,103496
1737823380.6531768,103394
1737823380.658177,103962
1737823380.6631768,104097
1737823380.668177,103564
1737823380.6731768,102869
1737823380.6785996,102116
1737823380.6835997,101213
1737823380.6885996,100197
1737823380.6935997,99095
1737823380.6985996,97913
1737823380.7035997,96678
1737823380.7085996,95408
1737823380.7135997,94099
1737823380.7185996,92747
1737823380.7235997,91333
1737823380.7285995,89842
1737823380.7335997,88268
1737823380.7385995,86573
1737823380.7435997,84584
1737823380.7485995,82271
1737823380.7535996,79623
1737823380.7590225,75945
1737823380.7640224,70576
1737823380.7690225,64059
1737823380.7740223,57524
1737823380.7790225,51365
1737823380.7840223,45255
1737823380.7890224,39336
1737823380.7940223,34514
1737823380.7990224,31415
1737823380.8040223,29467
1737823380.8090224,27725
1737823380.8140223,26146
1737823380.8190224,25021
1737823380.8240223,24193
1737823380.8290224,23464
1737823380.8340223,22806
1737823380.839445,22215
1737823380.844445,21653
1737823380.849445,21096
1737823380.854445,20568
1737823380.859445,20134
1737823380.864445,19674
1737823380.869445,19028
1737823380.874445,18458
1737823380.879445,18423
1737823380.884445,18831
1737823380.889445,18867
1737823380.894445,17788
1737823380.899445,15622
1737823380.904445,12933
1737823380.909445,10052
1737823380.914445,7003
1737823380.9198678,3871
1737823380.9248679,804
1737823380.9298677,-2197
1737823380.9348679,-5038
1737823380.9398677,-7342
1737823380.9448678,-8771
1737823380.9498677,-9415
1737823380.9548678,-9663
1737823380.9598677,-9789
1737823380.9648678,-9832
1737823380.9698677,-9799
1737823380.9748678,-9738
1737823380.9798677,-9659
1737823380.9848678,-9553
1737823380.9898677,-9426
1737823380.9948678,-9306
1737823381.0002906,-9188
1737823381.0052905,-9065
1737823381.0102906,-8930
1737823381.0152905,-8804
1737823381.0202906,-8682
1737823381.0252905,-8546
1737823381.0302906,-8421
1737823381.0352907,-8321
1737823381.0402906,-8230
1737823381.0452907,-8111
1737823381.0502906,-7975
1737823381.0552907,-7830
1737823381.0602906,-7692
