                                                                                HeartRate                                                                       25.01.2516.42.591   
Average,RRData
107.700005,560
107.5,560
107.4,560
106.9,568
106.1,576
105.1,584
104.8,576
104.6,576
104.5,576
104,584
104.1,576
103.700005,584
104.3,568
104.700005,568
104.5,576
104.8,568
105,568
106.6,544
105.9,576
107.700005,536
108,552
108.700005,544
109.700005,536
110.9,528
111.700005,528
111.8,536
112.3,528
112.200005,536
113.200005,520
112.8,536
113,528
113.700005,520
114.200005,520
114.6,520
114.3,528
115.200005,512
115.3,520
115.3,520
115.9,512
115.700005,520
115.6,520
115.5,520
116,512
115.8,520
115.700005,520
116.200005,512
116,520
115.8,520
115.1,528
115.700005,512
115.1,528
115.200005,520
115.3,520
114.8,528
115,520
115.1,520
115.700005,512
115.6,520
116.1,512
115.9,520
116.3,512
116.6,512
116.6,312
116.6,272
116.6,424
116.8,512
116.4,520
116.6,512
117.3,504
117.8,504
118.200005,504
117.9,512
118.200005,504
118.4,504
118.6,504
118.700005,504
120,488
119.3,536
118.1,520
117.8,512
116.5,528
116.200005,520
116,520
115.3,528
114.3,536
113.1,544
112.3,544
111.200005,552
110,560
109.6,552
108.4,568
107.6,568
107,568
106.6,568
106.3,568
106.5,560
106.700005,560
106.8,560
107.4,552
107.8,552
108.6,544
108.6,552
109.6,536
110.3,536
111.3,528
111.5,536
112.1,528
111.6,544
111.700005,536
110.8,552
109.700005,560
108,576
106.4,584
105.3,584
105,576
103.9,592
103.9,432
103.9,792
102.700005,600
102.3,592
102,592
101.8,592
102.1,584
102.700005,576
102.3,592
103,544
104.700005,552
105.1,640
105.3,992
106.8,544
108.3,536
109.4,536
110.200005,536
110.200005,496
110.200005,400
110.200005,352
110.200005,336
111,504
112.3,520
113.8,512
115.4,504
116.5,504
117.9,496
118.8,496
120.1,488
120.4,496
121.8,480
122.8,480
123.5,480
124.6,472
125.4,472
126.6,464
126.8,472
128.2,456
128.5,464
128.7,464
129.6,456
130.2,456
130.6,456
130.90001,456
131.1,456
131.3,456
132.1,448
131.3,464
132.1,448
131.90001,456
132.5,448
132.2,456
132.7,448
133.1,448
132.6,456
133,448
132.6,456
133,448
132.6,456
132.3,456
132.8,448
132.40001,456
132.2,456
132.7,448
133.1,448
132.6,456
132.3,456
132.8,448
133.1,448
132.6,456
133,448
133.3,448
132.8,456
133.1,448
132.6,456
132.3,456
132.1,456
131.90001,456
132.5,448
132.2,456
132,456
131.90001,456
131.8,456
131.7,456
131.7,456
132.40001,448
132.2,456
132.7,448
132.40001,456
132.90001,448
133.2,448
132.7,456
133.1,448
133.3,448
133.5,448
132.90001,456
132.5,456
132.2,456
132,456
131.90001,456
131.8,456
131,464
130.5,464
130.8,456
130.3,464
130,464
129.8,464
129.6,464
129.5,464
129.40001,464
129.40001,464
129.40001,464
129.40001,464
129.40001,464
129.40001,464
129.40001,464
128.7,472
128.90001,464
128.40001,472
128.7,464
128.2,472
127.9,472
127.700005,472
126.9,480
127,472
127.700005,464
127.5,472
127.4,472
126.700005,480
126.8,472
126.3,480
124.700005,496
125.4,472
125.9,472
126.3,472
125.9,480
126.9,464
127,472
127,472
127,472
127.700005,464
126.9,480
127,472
127,472
127,472
126.4,480
126.6,472
126.8,472
126.9,472
127.6,464
128.1,464
127.8,472
128.3,464
128.6,464
128.8,464
128.3,472
128.6,464
128.8,464
129,464
128.40001,472
128,472
128.40001,464
128.7,464
128.90001,464
129,464
129.1,464
129.2,464
128.6,472
128.8,464
129,464
128.40001,472
127.4,480
126.700005,480
126.8,472
126.9,472
126.3,480
125.3,488
125.200005,480
125.1,480
125.1,480
125.1,480
123.9,496
124.9,472
125.6,472
125.4,480
125.3,480
124.6,488
124.700005,480
124.8,480
124.9,480
124.3,488
123.3,496
122,504
121.1,504
120.5,504
120,504
119.700005,504
119.5,504
119.3,504
119.8,496
119.6,504
119.4,504
119.9,496
120.200005,496
119.8,504
120.200005,496
119.8,504
119.6,504
119.4,504
118.700005,512
118.8,504
120.1,488
120.4,496
120.6,496
120.700005,496
120.8,496
121.5,488
120.700005,504
120.8,496
121.5,488
122,488
121.700005,496
120.9,504
121.5,488
122,488
121.700005,496
120.9,504
120.3,504
121.1,488
120.5,504
119.5,512
120,496
